Molecule_ChEMBLID;Smiles;Standard_Value
CHEMBL285448;COc1ccc(OCCCCCC(=O)O)cc1Cc1cnc(N)nc1N;150.0
CHEMBL78648;CCCCCCCCOc1ccc(OC)c(Cc2cnc(N)nc2N)c1;3300.0
CHEMBL135816;CCN(CCO)c1ccc(/C=C2/Oc3c(ccc(O)c3O)C2=O)c(C)c1;3400.0
CHEMBL124416;O=C([O-])C1=CS[C@@H]2/C(=C\c3cc4n(n3)CCC4)C(=O)N12.[Na+];50.0
CHEMBL244890;COc1ccc(/C=C/C(=O)c2c(OC)ccc3oc(=O)sc23)cc1OC;1000.0
CHEMBL279330;COc1ccc2oc(=O)sc2c1C(=O)/C=C/c1ccc(Cl)cc1;7.8
CHEMBL241933;COc1ccc2oc(=O)sc2c1C(=O)/C=C/c1ccc(N(C)C)cc1;1000.0
CHEMBL242154;COc1ccc2oc(=O)sc2c1C(=O)/C=C/c1cccc(Cl)c1;1000.0
CHEMBL95027;CO[C@@H]1[C@@H]([C@@H](O[C@H]2OC(C(=O)N[C@H]3CCC[C@@H](C)NC3=O)=C[C@H](O)[C@@H]2O)C(N)=O)O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H]1O;0.01
CHEMBL119;COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC;27.0
CHEMBL20754;O=C(Cn1c(C2CCNCC2)nc2cc(Cl)c(Cl)cc21)NNC(=O)Nc1ccc2ccccc2c1;100000.0
CHEMBL112620;C[n+]1cccc(C(=O)OCCOCCOCCn2ccc3cc(OCc4ccccc4)ccc32)c1.[I-];200000.0
CHEMBL82521;COC1=C(Br)C[C@]2(C=C1Br)CC(C(=O)NCCc1c[nH]c(N)n1)=NO2;100000.0
CHEMBL1642026;CCc1ccc(N(CCCCCC2CCCCC2)c2ccc[n+](C)c2)cc1.[I-];0.7
CHEMBL396509;C/C=C1/C(=O)N2C(C(=O)[O-])=C3[C@@H](OC)CCC[C@@H]3[C@H]12.[Na+];62.0
CHEMBL395017;C/C=C1/C(=O)N2C(C(=O)[O-])=C3[C@@H](OCCF)CCC[C@@H]3[C@H]12.[Na+];148.0
CHEMBL49498;O=C(Nc1nnc(Sc2nc3cc(Cl)ccc3s2)s1)c1cccs1;2000.0
CHEMBL245279;CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(-c4cccnc4)n[nH]c2-3)C(=O)O1;1000.0
CHEMBL439973;Cc1nc(N)nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c12;9000.0
CHEMBL151947;CCCOc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC;0.93
CHEMBL390211;Cc1c(Cc2c(Cl)cccc2Cl)c(=O)ccn1CCc1ccc(-c2c[nH]c(CNC(=O)Nc3nc4ccc(S(C)(=O)=O)cc4s3)n2)cc1;4.5
